rollout/success rate,time/total timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates
0.36,819014,9325,73.41,-270.79851825000003,261,3135,764.0250061035156,10748.361569213866,0.001,818900
0.35,819114,9326,74.29,-274.67076821,259,3156,761.679150390625,9694.389366149902,0.001,819000
0.35,819214,9327,74.29,-268.2832176,258,3172,753.5048645019531,12202.724340820312,0.001,819100
0.34,819314,9328,75.22,-275.33832605,256,3188,752.6617309570313,10271.710739135742,0.001,819200
0.33,819414,9329,76.03,-277.1109611,255,3204,766.2233459472657,9723.700625610352,0.001,819300
0.33,819451,9330,76.23,-277.29631684000003,255,3209,749.9873901367188,8442.57951965332,0.001,819340
0.33,819551,9331,76.23,-279.77652413,253,3226,751.7268737792969,13043.485023498535,0.001,819440
0.33,819651,9332,76.23,-279.73907683,252,3244,750.8293884277343,10233.289251708984,0.001,819540
0.33,819749,9333,77.11,-281.2646874,251,3260,756.4389282226563,13323.148806762696,0.001,819640
0.34,819843,9334,77.05,-279.98909585999996,250,3276,753.3366333007813,8425.667358398438,0.001,819740
0.34,819943,9335,77.05,-282.25483897,248,3293,753.4702819824219,9164.9312210083,0.001,819840
0.33,820043,9336,77.32,-285.00379235,247,3311,758.5422546386719,6763.747280883789,0.001,819940
0.34,820070,9337,76.59,-276.68113206000004,247,3316,754.1945190429688,11549.908644104004,0.001,819960
0.34,820170,9338,76.59,-272.96612473,245,3337,750.0264831542969,10879.182788085938,0.001,820060
0.34,820270,9339,76.59,-271.72703243,244,3355,756.8928955078125,12629.055447387695,0.001,820160
0.33,820370,9340,76.98,-278.49565793000005,243,3369,755.0378601074219,10224.59200592041,0.001,820260
0.34,820436,9341,76.64,-273.37395083,242,3381,755.8356628417969,11185.482070922852,0.001,820320
0.35,820447,9342,75.75,-272.06902975,242,3383,755.0853454589844,10328.69660949707,0.001,820340
0.35,820547,9343,75.75,-274.72660579,241,3395,756.3232849121093,7548.491493225098,0.001,820440
0.34,820647,9344,76.69,-275.8896235,240,3413,755.9446350097656,6099.493664550781,0.001,820540
0.33,820747,9345,77.24,-279.84962353,239,3427,745.0378295898438,13504.195874023437,0.001,820640
0.33,820847,9346,77.24,-279.8402395,238,3444,749.8014953613281,9871.986331176759,0.001,820740
0.34,820881,9347,76.58,-274.18096426,237,3450,756.867431640625,9847.657084655762,0.001,820780
0.35,820888,9348,75.65,-272.14234298,237,3452,,,,
0.35,820988,9349,75.65,-276.51557993000006,236,3470,757.602294921875,8403.627883911133,0.001,820880
0.36,821000,9350,74.77,-273.72188626,236,3472,,,,
0.35,821100,9351,75.63,-279.76876288000005,235,3488,753.7946105957031,14288.918719482423,0.001,820980
0.35,821200,9352,75.63,-274.75205449000003,234,3506,751.6579650878906,10104.504202270507,0.001,821080
0.35,821300,9353,75.63,-274.5351652,233,3521,754.3038208007813,8554.89271850586,0.001,821180
0.34,821400,9354,75.81,-276.99078892,232,3537,756.8580871582031,4234.156376647949,0.001,821280
0.34,821500,9355,75.81,-277.32517129,231,3552,757.2121704101562,11721.623361206055,0.001,821380
