time/fps,time/episodes,time/time_elapsed,train/actor_loss,rollout/success rate,train/n_updates,time/total timesteps,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
138,4455,3018,860.7280517578125,0.19,417060,417168,7456.36665649414,0.001,-542.42361236,86.79
137,4456,3038,857.0178283691406,0.18,417160,417268,6843.548934936523,0.001,-547.37907967,87.59
136,4457,3055,863.5455688476562,0.19,417260,417361,14439.679803466797,0.001,-542.74802585,87.52
136,4458,3061,858.5378173828125,0.2,417280,417392,9475.369778442382,0.001,-537.9247212199999,86.83
135,4459,3078,869.0137634277344,0.2,417380,417492,4902.3322265625,0.001,-538.73001994,86.83
134,4460,3099,850.7801818847656,0.2,417480,417592,13510.082949829102,0.001,-539.57594765,86.83
133,4461,3118,864.8016784667968,0.2,417580,417692,10279.118713378906,0.001,-544.52533695,86.83
133,4462,3134,866.1575073242187,0.19,417680,417792,8635.874041748048,0.001,-548.26014743,87.31
132,4463,3155,868.3180786132813,0.19,417780,417892,8115.854650878906,0.001,-547.51789273,87.31
131,4464,3171,872.2274047851563,0.19,417880,417992,8191.279000854493,0.001,-547.6164321699999,87.31
131,4465,3185,857.7928771972656,0.2,417980,418082,9947.090461730957,0.001,-547.2593254999999,87.21
130,4466,3200,860.2852905273437,0.2,418080,418182,8884.13207397461,0.001,-544.67506311,87.21
129,4467,3228,870.1786315917968,0.2,418180,418282,10651.898236083984,0.001,-548.51523638,87.21
129,4468,3233,862.696875,0.21,418200,418307,6507.065643310547,0.001,-545.50503737,86.46
129,4469,3243,867.6188537597657,0.22,418240,418359,6644.955642700195,0.001,-539.3525185,85.98
128,4470,3260,868.6221130371093,0.21,418340,418459,10606.184097290039,0.001,-543.2319224799999,86.9
127,4471,3275,846.0752380371093,0.21,418440,418559,10588.70207824707,0.001,-542.03394481,86.9
127,4472,3278,864.7967834472656,0.22,418460,418571,6305.348229980469,0.001,-537.9972805,86.02
127,4473,3284,861.3020263671875,0.22,418480,418597,10799.992785644532,0.001,-538.2146803899999,86.09
126,4474,3304,861.629931640625,0.22,418580,418697,8071.65140991211,0.001,-537.3358583899999,86.09
125,4475,3324,862.11357421875,0.22,418680,418797,11428.008352661132,0.001,-536.4688707,86.09
125,4476,3329,860.9748779296875,0.22,418700,418814,11067.636236572265,0.001,-537.25113735,86.16
125,4477,3344,866.1465026855469,0.22,418800,418914,9681.43561706543,0.001,-533.25129274,86.16
125,4478,3349,859.0473815917969,0.23,418820,418934,5942.268179321289,0.001,-526.9876516,85.36
124,4479,3372,874.695556640625,0.23,418920,419034,5916.176957702637,0.001,-523.7124329200001,85.36
123,4480,3386,876.9674865722657,0.23,419020,419134,8932.547189331055,0.001,-521.53511215,85.36
123,4481,3403,858.4264221191406,0.22,419120,419234,6547.692178344727,0.001,-525.5808715899999,86.07
122,4482,3421,862.0404052734375,0.21,419220,419334,8690.258151245118,0.001,-528.8109542099999,86.9
121,4483,3439,865.3612915039063,0.21,419320,419434,7664.887509155274,0.001,-528.2701591099999,86.9
121,4484,3441,858.0770263671875,0.21,419340,419442,9037.38825378418,0.001,-527.79195576,86.73
121,4485,3445,869.0989929199219,0.21,419360,419465,9553.137020874023,0.001,-527.45675565,86.08
121,4486,3461,866.8900939941407,0.2,419460,419565,8854.804542541504,0.001,-528.70697093,86.15
120,4487,3479,855.0228698730468,0.2,419560,419665,9984.017770385743,0.001,-527.1352856100001,86.15
120,4488,3496,858.5539978027343,0.2,419660,419765,5942.70675201416,0.001,-526.9217996300001,86.15
119,4489,3513,862.1889709472656,0.19,419760,419865,6138.639361572265,0.001,-526.2229838800001,86.54
118,4490,3529,862.0007080078125,0.19,419860,419965,6145.332794189453,0.001,-525.2546085000001,86.54
118,4491,3547,866.5286437988282,0.19,419960,420065,8434.934922790528,0.001,-526.44146554,86.54
117,4492,3562,863.3176513671875,0.19,420060,420165,7608.894732666015,0.001,-519.53289554,86.54
117,4493,3578,861.65693359375,0.18,420160,420265,13750.632733154296,0.001,-521.5374142599999,87.45
116,4494,3598,868.3837341308594,0.18,420260,420365,8323.543450927735,0.001,-517.6737338199999,87.45
116,4495,3615,865.8685607910156,0.18,420360,420465,6627.519891357422,0.001,-510.89878223999995,87.45
116,4496,3619,859.451220703125,0.19,420380,420483,10332.104830932618,0.001,-500.33551338000007,86.63
115,4497,3639,861.1521789550782,0.19,420480,420583,12116.10126953125,0.001,-497.83896819,86.63
115,4498,3654,859.4393798828125,0.19,420580,420683,10418.08455657959,0.001,-498.01927152,86.63
114,4499,3674,867.0679260253906,0.19,420680,420783,11669.951104736328,0.001,-493.29642042000006,86.63
114,4500,3678,,0.2,,420800,,,-485.36062639999994,85.8
113,4501,3697,863.6699645996093,0.2,420780,420900,8759.554586791992,0.001,-481.94026975,85.8
113,4502,3701,863.9183349609375,0.21,420800,420917,6595.219268798828,0.001,-476.96263302000006,84.97
113,4503,3714,862.3536193847656,0.21,420880,420997,7651.388217163086,0.001,-477.07615085000003,85.57
112,4504,3730,860.6505187988281,0.21,420980,421097,8044.876113891602,0.001,-475.33604747000004,85.57
112,4505,3746,860.3989807128906,0.21,421080,421197,10904.55658416748,0.001,-477.49269031999995,85.57
111,4506,3761,857.1197021484375,0.21,421180,421297,13622.584045410156,0.001,-473.84432289999995,85.57
111,4507,3780,856.9922119140625,0.21,421280,421397,10085.097509765625,0.001,-477.22595187999997,85.57
111,4508,3795,870.4361389160156,0.21,421380,421497,4086.3468688964845,0.001,-475.33407373,85.57
110,4509,3818,861.5586730957032,0.21,421480,421597,7963.987634277344,0.001,-474.85276911,85.57
109,4510,3835,862.1489318847656,0.21,421580,421697,6682.689450073242,0.001,-469.34272677000007,85.57
109,4511,3854,858.8751098632813,0.21,421680,421797,9822.977990722657,0.001,-466.66381815000005,85.57
108,4512,3873,864.5595031738281,0.21,421780,421897,15186.335971069337,0.001,-461.0635773200001,85.57
108,4513,3892,865.5473022460938,0.22,421880,421988,6149.204498291016,0.001,-462.59889308000004,85.48
107,4514,3908,869.0762634277344,0.21,421980,422088,5702.513864135743,0.001,-464.46676103000004,86.38
107,4515,3929,863.1598876953125,0.21,422080,422188,7196.575973510742,0.001,-467.8201686100001,86.38
107,4516,3946,861.1674682617188,0.21,422180,422288,12744.94994506836,0.001,-466.22021294000007,86.38
106,4517,3962,857.9461181640625,0.21,422280,422388,11341.393559265136,0.001,-466.1830892800001,86.38
106,4518,3978,864.0263671875,0.21,422380,422488,13579.661102294922,0.001,-458.81308927000003,86.38
105,4519,3995,857.6638122558594,0.21,422480,422588,8473.25057067871,0.001,-456.0414836800001,86.38
105,4520,4008,860.2370300292969,0.21,422580,422688,10643.09250793457,0.001,-454.24899519999997,86.38
104,4521,4026,855.3930419921875,0.21,422680,422788,11316.5744430542,0.001,-453.62193977000004,86.38
104,4522,4047,864.784619140625,0.21,422780,422888,5773.703997802734,0.001,-452.75477388,86.38
104,4523,4064,859.3661499023438,0.21,422880,422988,7256.174729919434,0.001,-449.13810541,86.38
103,4524,4084,849.6688903808594,0.21,422980,423088,12989.655996704101,0.001,-449.81228637,86.38
103,4525,4090,861.9704223632813,0.22,423000,423116,7876.633282470703,0.001,-435.74703565,85.66
103,4526,4107,853.0696411132812,0.21,423100,423216,14696.15023498535,0.001,-434.59419429,86.15
102,4527,4121,868.2654113769531,0.21,423200,423316,7510.100344848633,0.001,-434.18002732,86.15
102,4528,4136,862.1355712890625,0.2,423300,423416,11949.047882080078,0.001,-441.3283511000001,87.0
101,4529,4153,857.6073791503907,0.2,423400,423516,6965.783966064453,0.001,-434.98569826,87.0
101,4530,4156,855.7249755859375,0.21,423420,423531,8474.730181884766,0.001,-432.82581292,86.15
101,4531,4172,853.6857666015625,0.21,423520,423631,10381.857717895507,0.001,-431.20009099,86.15
101,4532,4182,850.4634826660156,0.22,423580,423697,13467.828381347656,0.001,-426.4061569699999,85.81
