train/learning_rate,train/critic_loss,rollout/success rate,time/episodes,train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total timesteps,rollout/ep_len_mean
0.001,9484.841851806641,0.23,6904,692.0320617675782,620540,-508.97184703999994,172,3594,620644,84.81
0.001,6647.328210449219,0.24,6905,697.0531921386719,620560,-506.14333098,172,3604,620672,84.09
0.001,7483.949725341797,0.24,6906,693.1772827148437,620600,-518.0856461399999,171,3615,620705,84.29
,,0.25,6907,,,-516.2113005799998,171,3619,620715,83.39
0.001,9963.865887451171,0.24,6908,698.8067138671875,620700,-543.92360862,170,3647,620815,84.05
0.001,8662.271899414063,0.24,6909,702.7307800292969,620800,-541.5881279399999,169,3670,620915,84.05
0.001,10044.516058349609,0.24,6910,700.7622741699219,620900,-548.1407995799999,168,3687,621015,84.05
0.001,6932.543380737305,0.24,6911,692.036572265625,621000,-551.82501371,167,3716,621115,84.05
0.001,8391.134826660156,0.24,6912,702.9292724609375,621100,-551.1032004699999,166,3734,621215,84.05
0.001,6571.391455078125,0.24,6913,714.7864685058594,621200,-553.29438579,165,3750,621315,84.05
0.001,8376.67624206543,0.23,6914,697.9795288085937,621300,-557.49865403,165,3766,621415,84.91
0.001,8120.046591186523,0.23,6915,707.5264587402344,621400,-554.1638955200001,164,3783,621515,84.91
0.001,6755.859329223633,0.23,6916,700.1077941894531,621440,-553.4222164600001,164,3788,621545,84.59
0.001,7032.689239501953,0.23,6917,702.7025268554687,621540,-556.0974585900001,163,3803,621645,84.59
0.001,9451.473086547852,0.24,6918,696.9142456054688,621560,-549.54359174,163,3808,621668,83.82
0.001,5975.292092895508,0.24,6919,703.0041015625,621660,-551.45267686,162,3835,621768,83.82
0.001,9207.268988037109,0.24,6920,700.1188110351562,621760,-557.65319528,160,3866,621868,83.82
0.001,7373.4881591796875,0.24,6921,705.8358947753907,621860,-557.36849482,160,3883,621968,83.82
0.001,8775.61700744629,0.24,6922,711.5641784667969,621960,-561.1144022000001,159,3905,622068,83.82
0.001,6096.604202270508,0.25,6923,702.7248779296875,621980,-558.34182591,159,3911,622100,83.14
0.001,8786.95119934082,0.24,6924,698.0197448730469,622080,-567.48897459,158,3930,622200,84.05
0.001,7524.527464294433,0.24,6925,707.1752868652344,622180,-562.27920353,157,3946,622300,84.05
0.001,6044.434167480469,0.24,6926,710.4088500976562,622280,-562.41928844,157,3963,622400,84.05
0.001,10981.43069152832,0.24,6927,697.2677734375,622380,-562.52258353,156,3982,622500,84.05
0.001,10960.262145996094,0.24,6928,700.9267700195312,622480,-567.7864426699999,155,4001,622600,84.05
0.001,9185.05453491211,0.24,6929,701.3056396484375,622580,-555.31515035,154,4019,622700,84.05
0.001,5270.367532348633,0.23,6930,704.5460754394531,622680,-557.0583313399999,154,4036,622800,84.37
0.001,8231.53150024414,0.23,6931,710.7466613769532,622780,-558.8942916599999,153,4053,622900,84.37
0.001,6416.2048065185545,0.23,6932,712.6205505371094,622880,-567.38253688,153,4070,623000,84.37
0.001,9469.655047607423,0.23,6933,710.8789245605469,622980,-570.6838634499999,152,4088,623100,84.37
